ID,Start Time,End Time,Text
397,"00:27:32,400","00:27:33,818","That is my mile hole."
398,"00:27:34,486","00:27:37,614","That is the home of the Brown trout where forest used to fish."
399,"00:27:39,115","00:27:40,909","There'll be no paddle up your creek,"
400,"00:27:41,242","00:27:43,161","just heavy loads and water high."
401,"00:27:44,537","00:27:46,498","From there, there's no place for the meek."
402,"00:27:46,748","00:27:48,416","The end is ever drawing nigh."
403,"00:27:49,084","00:27:50,460","No place for the meek."
404,"00:27:50,460","00:27:53,797","That is going into the woods or off the beaten path."
405,"00:27:54,881","00:27:57,425","Finally, if you've been wise and found the blaze,"
406,"00:27:57,717","00:27:59,636","look quickly down your quest to cease."
407,"00:28:00,720","00:28:05,809","I believe the blaze was a tree that has since fallen over"
408,"00:28:06,476","00:28:09,145","and that the treasure was very at the base of the tree."
409,"00:28:10,563","00:28:14,984","Just sitting there for 10 years, only 500 feet from the road."
410,"00:28:18,738","00:28:19,239","That's crazy."
411,"00:28:20,365","00:28:23,368","It is."
412,"00:28:38,341","00:28:40,552","2016, my brother came to Yellowstone with me."
413,"00:28:44,472","00:28:45,598","He searched this canyon."
414,"00:28:46,599","00:28:46,975","We searched."
415,"00:28:51,020","00:28:52,272","We searched right through here."
416,"00:28:52,272","00:28:53,231","We walked through here."
417,"00:28:53,231","00:28:53,440","I..."
418,"00:28:56,234","00:28:59,821","We took a break right here."
419,"00:29:00,822","00:29:02,532","We took a break right here."
420,"00:29:05,410","00:29:16,254","I just wish my brother wasn't around to see it."
421,"00:29:18,798","00:29:24,929","But I'm thankful for the time that we had to search together."
422,"00:29:27,348","00:29:28,725","Because that's what this is all about."
423,"00:29:29,851","00:29:32,604","[birds chirping]"
424,"00:29:33,563","00:29:34,647","So here's to you, Forrest."
425,"00:29:39,152","00:29:39,694","Thank you."
426,"00:29:45,283","00:29:47,494","That's what life is all about, living it."
427,"00:29:50,914","00:29:54,209","At that point, I felt that I might be in a position where"
428,"00:29:55,627","00:29:58,004","I could buy the chest, I could buy the treasure,"
429,"00:29:58,505","00:30:02,800","and then re-hide it."
430,"00:30:05,261","00:30:07,222","That's basically it."
431,"00:30:09,849","00:30:10,058","Yeah."
432,"00:30:13,728","00:30:16,689","Kind of makes you wonder how I never find a"
433,"00:30:16,689","00:30:19,442","10 by 10, my five inch box in the Rockies."
434,"00:30:20,610","00:30:23,321","Can't find the heritage building in Dallas, Texas."
435,"00:30:23,905","00:30:24,280","There it is."
436,"00:30:26,533","00:30:26,991","Okay."
437,"00:30:29,035","00:30:29,452","Hi, guys."
438,"00:30:29,869","00:30:30,161","Baron."
439,"00:30:30,703","00:30:31,621","Justin. Nice to meet you."
440,"00:30:31,621","00:30:32,664","Lovely to meet you as well."
441,"00:30:32,997","00:30:33,998","We're going to go right in here."
442,"00:30:34,290","00:30:34,541","Sure."
443,"00:30:36,376","00:30:36,751","Thank you."
444,"00:30:41,714","00:30:44,050","If you'd like to have a seat right here,"
445,"00:30:44,050","00:30:44,467","Okay."
446,"00:30:44,467","00:30:46,344","We'll bring the items in for you."
447,"00:30:46,594","00:30:47,262","Thank you so much."
448,"00:30:47,262","00:30:49,597","We're going to turn the lights off as well so"
449,"00:30:49,597","00:30:51,432","you can see the items a little bit more clearly"
450,"00:30:51,516","00:30:52,642","under these lights."
451,"00:30:54,978","00:30:55,103","Yeah."
452,"00:30:58,523","00:31:20,169","[music]"
453,"00:31:20,169","00:31:22,171","So you can feel the weight of it."
454,"00:31:26,009","00:31:26,718","It's heavy."
455,"00:31:27,260","00:31:27,677","Imagine that."
456,"00:31:28,511","00:31:29,512","I mean, it's so dense."
457,"00:31:30,597","00:31:31,055","Wow."
458,"00:31:31,431","00:31:33,558","I mean, I still see the original dirt on it."
459,"00:31:33,558","00:31:34,350","That is amazing."
460,"00:31:36,227","00:31:38,605","Did you guys do any sort of restoration on it at all?"
461,"00:31:38,813","00:31:39,564","Nothing's been done to anything."
462,"00:31:39,564","00:31:40,273","That's fantastic."
463,"00:31:40,940","00:31:41,149","Oh."
464,"00:31:44,193","00:31:48,156","That is so cool."
465,"00:31:54,412","00:31:54,746","Wow."
466,"00:31:55,413","00:31:56,331","And the rusty key."
467,"00:31:56,414","00:31:58,541","Right inside."
468,"00:31:59,834","00:32:01,419","Probably doesn't work in here any longer."
469,"00:32:01,753","00:32:02,837","I'd be afraid to try."
470,"00:32:02,837","00:32:03,504","It's a good try."
471,"00:32:03,880","00:32:04,088","No."
472,"00:32:06,507","00:32:17,101","[music]"
473,"00:32:20,396","00:32:22,023","Wow."
474,"00:32:22,023","00:32:30,990","It's really crazy. [music]"
475,"00:32:31,032","00:32:32,950","You don't really realize just how many pieces"
476,"00:32:32,950","00:32:35,536","there are until you start laying them all out."
477,"00:32:35,536","00:32:37,080","It's just kind of overwhelming."
478,"00:32:40,500","00:32:43,294","For the heft, the two biggest nuggets."
479,"00:32:44,545","00:32:46,756","The guys, the way you just pull."
480,"00:32:47,924","00:32:48,591","It's amazing."
481,"00:32:51,302","00:32:56,099","And this is an interesting piece for different reasons."
482,"00:32:56,349","00:32:58,601","It's just so stunning."
483,"00:33:02,647","00:33:03,398","Oh my goodness."
484,"00:33:04,190","00:33:04,607","Beautiful."
485,"00:33:07,694","00:33:09,070","Everything you'd imagine plus more."
486,"00:33:10,905","00:33:12,031","Anything else you want to see?"
487,"00:33:12,657","00:33:13,991","No, I think that'll do it."
488,"00:33:13,991","00:33:14,992","Really appreciate your time."
489,"00:33:15,868","00:33:16,160","Thank you."
490,"00:33:16,536","00:33:16,744","Absolutely."
491,"00:33:19,789","00:33:22,458","What Forrest created was something more than a treasure."
492,"00:33:24,711","00:33:26,087","It was something magical."
493,"00:33:26,587","00:33:28,881","It was something pure."
494,"00:33:29,257","00:33:36,681","It was something that captured your youth."
495,"00:33:37,014","00:33:37,432","All right."
496,"00:33:37,432","00:33:39,183","What the heck did you get there, son?"
497,"00:33:40,101","00:33:41,018","No, show me."
498,"00:33:42,061","00:33:46,315","And I wanted a way for others to experience the"
499,"00:33:46,315","00:33:49,193","highlights of what I experienced and to have that"
500,"00:33:49,777","00:33:50,820","classic adventure."
501,"00:33:50,903","00:33:56,492","I didn't want that to end."
502,"00:33:58,870","00:34:01,914","After I visited the treasure, a verbal"
503,"00:34:01,914","00:34:06,753","offer was made at that time and it was accepted."
504,"00:34:08,880","00:34:10,923","And then something changed."
505,"00:34:14,635","00:34:18,806","Forrest Fenn's treasure has sold for more than $1.3 million at auction."
506,"00:34:18,806","00:34:23,352","The treasure was auctioned off in 476 lots"
507,"00:34:23,352","00:34:26,647","with more than 1,500 people bidding on the items."
508,"00:34:27,148","00:34:30,151","It was really gutting when it didn't work out afterwards."
509,"00:34:30,651","00:34:36,199","Just this super excitement to just bummer."
510,"00:34:39,118","00:34:44,290","But I'm generally not deterred by those situations."
511,"00:34:44,665","00:34:46,626","There's always a more creative solution."
512,"00:34:47,710","00:34:48,252","What do you mean?"
513,"00:34:48,252","00:34:49,462","What do you get for a treasure? What do you have in mind?"
514,"00:34:51,839","00:34:53,674","Well, there's a new plan."
515,"00:35:02,892","00:35:04,560","Okay, my stick works."
516,"00:35:10,107","00:35:11,025","Okay, I think most..."
517,"00:35:12,360","00:35:13,027","We're gonna start that over."
518,"00:35:13,069","00:35:14,487","Nervous Mumbling]"
519,"00:35:16,656","00:35:21,452","I think most of us can agree Forrest Treasure Hunt didn't have the best ending,"
520,"00:35:21,786","00:35:23,120","but there's no denying it."
521,"00:35:23,120","00:35:25,498","The treasure hunt itself was a true adventure."
522,"00:35:26,249","00:35:30,253","So I've just returned from a different kind of adventure in the American West."
523,"00:35:30,753","00:35:33,297","This summer I orchestrated a daring plan."
524,"00:35:34,257","00:35:38,427","Not to discover a treasure, but to leave one hidden for someone else to find."
525,"00:35:39,220","00:35:40,847","This is not a parable or a metaphor."
526,"00:35:40,888","00:35:42,932","It's a real physical treasure."
527,"00:35:43,182","00:35:45,476","And that weighs about 60 pounds."
528,"00:35:46,143","00:35:50,731","It's filled with one kilogram gold bars, rubies, sapphires, emeralds, gold coins,"
529,"00:35:50,982","00:35:52,275","even a good size meteorite."
530,"00:35:52,984","00:35:56,070","Of course, it wouldn't be complete without a piece of forest."
531,"00:35:56,487","00:35:59,198","So I included some things from his treasure, like his dragon bracelet."
532,"00:35:59,574","00:36:01,868","And it's sitting out there somewhere right now,"
533,"00:36:02,285","00:36:04,036","just waiting for someone to discover it."
534,"00:36:04,453","00:36:06,080","So consider this the start of the race."
535,"00:36:06,747","00:36:07,373","The time's ticking."
536,"00:36:07,832","00:36:10,167","And we all know true adventure waits for no way."
537,"00:36:10,585","00:36:11,085","Good luck."
538,"00:36:15,131","00:36:17,174","There's one more thing you should know."
539,"00:36:18,092","00:36:21,512","I managed to sneak in some hints during the filming of this Netflix series."
540,"00:36:21,929","00:36:24,932","No one knows what the hints are besides me, not even the producers."
541,"00:36:26,017","00:36:28,561","So it's worth your time to watch and listen closely."
542,"00:36:29,520","00:36:31,230","I think Lewis Carroll said it best."
543,"00:36:31,981","00:36:35,484","In the end, we only regret the chances we didn't take."
544,"00:36:36,319","00:36:36,694","Happy hunting."
